iverilog -g2012 add_sub.sv Testbench.sv 
./a.out
x = 0.262486, y = 0.917004, out = 0.601078,  err = 49.039133 pct
x = 0.262486, y = 0.921983, out = 0.604342,  err = 48.977812 pct
x = 0.262486, y = 0.926990, out = 0.607624,  err = 48.916675 pct
x = 0.262486, y = 0.932023, out = 0.610923,  err = 48.855723 pct
x = 0.262486, y = 0.937084, out = 0.614240,  err = 48.794956 pct
x = 0.262486, y = 0.942172, out = 0.617576,  err = 48.734373 pct
x = 0.262486, y = 0.947288, out = 0.620929,  err = 48.673975 pct
x = 0.262486, y = 0.952432, out = 0.624300,  err = 48.613763 pct
x = 0.262486, y = 0.957603, out = 0.627690,  err = 48.553735 pct
x = 0.262486, y = 0.962803, out = 0.631099,  err = 48.493892 pct
x = 0.262486, y = 0.968031, out = 0.634525,  err = 48.434234 pct
x = 0.262486, y = 0.973287, out = 0.637971,  err = 48.374761 pct
x = 0.262486, y = 0.978572, out = 0.641435,  err = 48.315472 pct
x = 0.262486, y = 0.983886, out = 0.644918,  err = 48.256369 pct
x = 0.262486, y = 0.989228, out = 0.648420,  err = 48.197451 pct
x = 0.262486, y = 0.994599, out = 0.651941,  err = 48.138718 pct
x = 0.262486, y = 1.000000, out = 0.655481,  err = 48.080169 pct
x = 0.262486, y = 1.005430, out = 0.659040,  err = 48.021806 pct
x = 0.262486, y = 1.010889, out = 0.662618,  err = 47.963627 pct
x = 0.262486, y = 1.016378, out = 0.666216,  err = 47.905634 pct
x = 0.262486, y = 1.021897, out = 0.669834,  err = 47.847825 pct
x = 0.262486, y = 1.027446, out = 0.673471,  err = 47.790201 pct
x = 0.262486, y = 1.033025, out = 0.677128,  err = 47.732761 pct
x = 0.262486, y = 1.038634, out = 0.680805,  err = 47.675507 pct
x = 0.262486, y = 1.044274, out = 0.684501,  err = 47.618437 pct
x = 0.262486, y = 1.049944, out = 0.056389,  err = 95.703452 pct
x = 0.262486, y = 1.055645, out = 0.066696,  err = 94.940088 pct
x = 0.262486, y = 1.061377, out = 0.094835,  err = 92.836500 pct
x = 0.262486, y = 1.067140, out = 0.796571,  err = 40.090610 pct
x = 0.262486, y = 1.072935, out = 0.800896,  err = 40.026670 pct
x = 0.262486, y = 1.078761, out = 0.809618,  err = 39.636944 pct
x = 0.262486, y = 1.084618, out = 0.814014,  err = 39.573078 pct
x = 0.263911, y = 0.917004, out = 0.601078,  err = 49.100639 pct
x = 0.263911, y = 0.921983, out = 0.604342,  err = 49.039133 pct
x = 0.263911, y = 0.926990, out = 0.607624,  err = 48.977812 pct
x = 0.263911, y = 0.932023, out = 0.610923,  err = 48.916675 pct
x = 0.263911, y = 0.937084, out = 0.614240,  err = 48.855723 pct
x = 0.263911, y = 0.942172, out = 0.617576,  err = 48.794956 pct
x = 0.263911, y = 0.947288, out = 0.620929,  err = 48.734373 pct
x = 0.263911, y = 0.952432, out = 0.624300,  err = 48.673975 pct
x = 0.263911, y = 0.957603, out = 0.627690,  err = 48.613763 pct
x = 0.263911, y = 0.962803, out = 0.631099,  err = 48.553735 pct
x = 0.263911, y = 0.968031, out = 0.634525,  err = 48.493892 pct
x = 0.263911, y = 0.973287, out = 0.637971,  err = 48.434234 pct
x = 0.263911, y = 0.978572, out = 0.641435,  err = 48.374761 pct
x = 0.263911, y = 0.983886, out = 0.644918,  err = 48.315472 pct
x = 0.263911, y = 0.989228, out = 0.648420,  err = 48.256369 pct
x = 0.263911, y = 0.994599, out = 0.651941,  err = 48.197451 pct
x = 0.263911, y = 1.000000, out = 0.655481,  err = 48.138718 pct
x = 0.263911, y = 1.005430, out = 0.659040,  err = 48.080169 pct
x = 0.263911, y = 1.010889, out = 0.662618,  err = 48.021806 pct
x = 0.263911, y = 1.016378, out = 0.666216,  err = 47.963627 pct
x = 0.263911, y = 1.021897, out = 0.669834,  err = 47.905634 pct
x = 0.263911, y = 1.027446, out = 0.673471,  err = 47.847825 pct
x = 0.263911, y = 1.033025, out = 0.677128,  err = 47.790201 pct
x = 0.263911, y = 1.038634, out = 0.680805,  err = 47.732761 pct
x = 0.263911, y = 1.044274, out = 0.684501,  err = 47.675507 pct
x = 0.263911, y = 1.049944, out = 0.688218,  err = 47.618437 pct
x = 0.263911, y = 1.055645, out = 0.056695,  err = 95.703452 pct
x = 0.263911, y = 1.061377, out = 0.067058,  err = 94.940088 pct
x = 0.263911, y = 1.067140, out = 0.095350,  err = 92.836500 pct
x = 0.263911, y = 1.072935, out = 0.800896,  err = 40.090610 pct
x = 0.263911, y = 1.078761, out = 0.805245,  err = 40.026670 pct
x = 0.263911, y = 1.084618, out = 0.814014,  err = 39.636944 pct
x = 0.265344, y = 0.917004, out = 0.597832,  err = 49.436882 pct
x = 0.265344, y = 0.921983, out = 0.601078,  err = 49.375524 pct
x = 0.265344, y = 0.926990, out = 0.604342,  err = 49.314351 pct
x = 0.265344, y = 0.932023, out = 0.607624,  err = 49.253361 pct
x = 0.265344, y = 0.937084, out = 0.610923,  err = 49.192554 pct
x = 0.265344, y = 0.942172, out = 0.614240,  err = 49.131931 pct
